,id,company,url,industry,yrs_on_list
0,22890,Fuhu,fuhu,Consumer Products & Services,2
1,25747,Quest Nutrition,quest-nutrition,Food & Beverage,1
2,25643,Reliant Asset Management,reliant-asset-management,Business Products & Services,1
3,26098,Superfish,superfish,Software,1
4,26182,Acacia Communications,acacia-communications,Telecommunications,1
5,22913,Provider Power,provider-power,Energy,2
6,22937,Crescendo Bioscience,crescendo-bioscience,Health,2
7,25413,Plexus Worldwide,plexus-worldwide,Health,1
8,26079,Vacasa,vacasa,Travel & Hospitality,1
9,25861,Go Energies,go-energies,Energy,1
10,25231,Minute Key,minute-key,Consumer Products & Services,1
11,26450,Sainstore,sainstore,Business Products & Services,1
12,22892,The HCI Group,the-hci-group,Health,2
13,26223,Dynamic Dental Partners Group,dynamic-dental-partners-group,Health,1
14,25021,Aseptia,aseptia,Food & Beverage,1
15,26535,Asentra Health,asentra-health,Health,1
16,24632,American Solar Direct,american-solar-direct,Energy,1
17,26246,Prescient Edge,prescient-edge,Government Services,1
18,22962,BlueSquare Resolutions,bluesquare-resolutions,Financial Services,2
19,25398,BES Design/Build,bes-designbuild,Engineering,1
20,25290,Simpler Trading,simpler-trading,Financial Services,1
21,24803,sweetFrog Premium Frozen Yogurt,sweetfrog-premium-frozen-yogurt,Food & Beverage,1
22,25925,Base Commerce,base-commerce,Financial Services,1
23,25323,CPSG Partners,cpsg-partners,IT Services,1
24,25679,MedHOK,medhok,Health,1
25,25524,Showroom Logic,showroom-logic,Advertising & Marketing,1
26,25360,WeVeel,weveel,Consumer Products & Services,1
27,25764,PackIt,packit,Consumer Products & Services,1
28,25317,American Retirement Advisors,american-retirement-advisors,Financial Services,1
29,26342,HighPoint Global,highpoint-global,Business Products & Services,1
30,24949,AdKarma,adkarma,Advertising & Marketing,1
31,25188,Axtria,axtria,IT Services,1
32,25240,Dolls Kill,dolls-kill,Retail,1
33,25357,Centric Digital,centric-digital,Business Products & Services,1
34,25522,Retail Capital,retail-capital,Financial Services,1
35,22949,Restore Health,restore-health,Health,2
36,25527,OpenRoad Lending,openroad-lending,Financial Services,1
37,25755,Pontchartrain Partners,pontchartrain-partners,Government Services,1
38,25634,Team Extreme Marketing International,team-extreme-marketing-international,Consumer Products & Services,1
39,25306,Choice Energy,choice-energy,Energy,1
40,26117,ReviMedia,revimedia,Advertising & Marketing,1
41,26490,SmartZip Analytics,smartzip-analytics,Software,1
42,25659,Thompson Gray,thompson-gray,Government Services,1
43,26179,MCSG Technologies,mcsg-technologies,IT Services,1
44,25965,Innovative Surveillance Solutions,innovative-surveillance-solutions,Security,1
45,25677,Nordic,nordic,Health,1
46,25385,Michigan Realty Solutions,michigan-realty-solutions,Real Estate,1
47,25931,Ohio Investments,ohio-investments,Real Estate,1
48,25654,Adore Me,adore-me,Retail,1
49,26146,IQ Formulations,iq-formulations,Health,1
50,26092,MAX Digital,max-digital,Software,1
51,25699,MaxHome,maxhome,Construction,1
52,17948,Alex and Ani,alex-and-ani,Retail,5
53,25453,Crowdtap,crowdtap,Advertising & Marketing,1
54,25107,Compass Automation,compass-automation,Manufacturing,1
55,25445,Multifamily Utility,multifamily-utility,Real Estate,1
56,21041,The Joint,the-joint,Health,3
57,26233,Bizness Apps,bizness-apps,Software,1
58,25846,EcoSense Lighting,ecosense-lighting,Manufacturing,1
59,26043,PhotoBin,photobin,Consumer Products & Services,1
60,25914,PMG Worldwide,pmg-worldwide,Advertising & Marketing,1
61,21105,Victor Securities,victor-securities,Financial Services,3
62,24951,eLan Technologies,elan-technologies,IT Services,1
63,25166,Centennial Lending Group,centennial-lending-group,Financial Services,1
64,26157,Tough Mudder,tough-mudder,Health,1
65,21440,Netcom3 Global,netcom3-global,Software,3
66,26204,Gideon Services,gideon-services,Government Services,1
67,22983,Viderity,viderity,Government Services,2
68,25774,Affectiva,affectiva,Software,1
69,24877,AdHarmonics,adharmonics,Advertising & Marketing,1
70,23088,Acordis International,acordis-international,IT Services,2
71,26510,KRAVE Pure Foods,krave-pure-foods,Food & Beverage,1
72,25018,Main Street Hub,main-street-hub,Advertising & Marketing,1
73,26093,First Point Power,first-point-power,Energy,1
74,26181,Ethology,ethology,Advertising & Marketing,1
75,22998,Regal Wings,regal-wings,Travel & Hospitality,2
76,25843,Solect Energy Development,solect-energy-development,Energy,1
77,25910,Old Pro Roofing,old-pro-roofing,Construction,1
78,25062,Clean Energy Experts,clean-energy-experts,Advertising & Marketing,1
79,25618,LogoUp.com,logoupcom,Retail,1
80,25868,ANALYTICA,analytica,IT Services,1
81,22919,Phunware,phunware,Software,2
82,25510,iCracked,icracked,Consumer Products & Services,1
83,25545,BuyBackWorld,buybackworld,Consumer Products & Services,1
84,25518,Tahzoo,tahzoo,Advertising & Marketing,1
85,24946,Connexion Point,connexion-point,Health,1
86,25892,Meister Cook,meister-cook,Business Products & Services,1
87,22933,TUNE,tune,Advertising & Marketing,2
88,25880,Constructure Management,constructure-management,Construction,1
89,25212,Pendo Management Group,pendo-management-group,Real Estate,1
90,25460,Gemini Consulting & Services,gemini-consulting-services,IT Services,1
91,22952,Next Step Living,next-step-living,Energy,2
92,25047,FastPay,fastpay,Financial Services,1
93,26166,Early Upgrade,early-upgrade,Consumer Products & Services,1
94,25745,Yochana IT Solutions,yochana-it-solutions,IT Services,1
95,25698,American Care Partners,american-care-partners,Health,1
96,25126,Prepay Nation,prepay-nation,Financial Services,1
97,25287,PEG Bandwidth,peg-bandwidth,Telecommunications,1
98,26456,Global Energy Efficiency,global-energy-efficiency,Energy,1
99,26317,LaunchPoint,launchpoint,Health,1
100,24794,Equipatron,equipatron,Retail,1
101,25791,GovSmart,govsmart,Computer Hardware,1
102,26531,The Clymb,the-clymb,Retail,1
103,26329,Alliance Health,alliance-health,Health,1
104,26379,Inkling,inkling,Software,1
105,24947,Patriot Group International,patriot-group-international,Government Services,1
106,25461,Insureon,insureon,Insurance,1
107,23215,RevLocal,revlocal,Advertising & Marketing,2
108,26392,Apex Fuels,apex-fuels,Energy,1
109,25606,Multicoreware,multicoreware,Software,1
110,26420,MobileHelp,mobilehelp,Health,1
111,26464,Ataraxis,ataraxis,Human Resources,1
