id,growth,revenue,workers
22890,158956.9106,195640000,227
25747,57347.9246,82640563,191
25643,55460.1646,85076502,145
26098,26042.963,35293000,62
26182,20690.4578,77652360,92
22913,19876.5169,137977203,50
22937,18375.0693,27308000,129
25413,16457.6529,159897088,130
26079,16192.061,26263454,264
25861,16006.8013,32851754,11
25231,14588.3448,15782039,113
26450,14086.513,19243863,135
22892,13230.9467,34583142,153
26223,12895.5867,19802935,313
25021,12427.4225,13887650,159
26535,12127.9133,20445071,34
24632,11560.3538,52086567,436
26246,11497.7718,12315210,42
22962,11488.6004,46400872,27
25398,11374.9136,11819161,44
25290,10522.6415,11260000,12
24803,10371.7994,34382478,790
25925,10186.259,12479598,17
25323,9531.6371,17095000,102
25679,9109.1892,17037000,102
25524,8448.5785,13443409,90
25360,8239.8148,9007000,27
25764,7877.9544,11874148,10
25317,7758.1594,13876488,8
26342,7638.5408,95810719,200
24949,7635.2397,13326503,33
25188,7351.2959,8963909,176
25240,7055.6604,7585000,24
25357,6898.4173,18045419,140
25522,6861.3577,7013359,55
22949,6663.1769,6821205,61
25527,6603.3722,8853881,53
25755,6535.0538,10545091,25
25634,6369.1921,6772856,1
25306,6020.9548,20894369,4
26117,5817.1289,5963105,24
26490,5811.3568,11396150,96
25659,5752.5251,14104761,48
26179,5715.2859,7686703,147
25965,5604.7826,10247444,20
25677,5593.0143,81410104,379
25385,5530.8057,6178120,40
25931,5507.4529,23809245,17
25654,5505.55,5637838,30
26146,5486.2116,8269660,35
26092,5483.1298,6577541,32
25699,5438.9673,5792929,50
17948,5220.9165,230109687,1106
25453,5217.2043,6261593,46
25107,5214.2331,5703235,30
25445,5196.0656,5757194,35
21041,5139.4732,5958067,19
26233,5078.5874,6178728,70
25846,5059.1489,15363997,59
26043,5003.4376,6385268,61
25914,5000.4026,5764577,44
21105,4897.024,6494832,19
24951,4863.7089,9149555,89
25166,4845.0294,166889598,41
26157,4737.5104,107900476,143
21440,4724.7797,30058088,40
26204,4723.0413,23252268,3
22983,4722.8947,18327000,34
25774,4676.4588,5017670,37
24877,4669.4024,45929345,40
23088,4638.7226,6000834,28
26510,4632.0582,16940863,40
25018,4625.3168,9157664,175
26093,4355.2259,23499000,4
26181,4219.4187,8815804,64
22998,4146.4844,54355000,126
25843,4101.3374,12477972,23
25910,4076.4206,4897229,16
25062,4063.5937,6058237,53
25618,4062.0098,8003961,32
25868,4056.1632,15010399,28
22919,4040.0382,22119065,131
25510,4033.2486,7315850,39
25545,4011.2131,4139786,13
25518,3946.3888,5693350,49
24946,3943.8155,18286053,1250
25892,3943.004,7707138,2
22933,3939.4786,18904275,150
25880,3929.4614,33167746,28
25212,3877.8706,8471671,14
25460,3869.7686,6469651,45
22952,3859.6587,58009000,764
25047,3824.8721,5061986,26
26166,3745.689,18068816,6
25745,3694.0309,5637285,90
25698,3656.7915,6580396,192
25126,3637.1336,110914763,10
25287,3612.7746,32895443,115
26456,3588.5841,12860765,108
26317,3544.2164,12899943,72
24794,3543.1,5284863,7
25791,3532.3775,25433653,12
26531,3531.5493,64460000,90
26329,3490.2076,85596581,380
26379,3443.0435,8149000,100
24947,3401.9117,24073472,80
25461,3357.8136,11844049,65
23215,3341.7125,7268587,146
26392,3323.5318,134567633,37
25606,3322.105,7686082,200
26420,3304.8214,18661656,87
26464,3277.519,40765844,12
25241,3257.9707,9809304,15
23197,3236.4728,52783000,73
26395,3231.6852,23442470,87
23076,3225.0636,4002379,18
25855,3214.4606,26493445,458
22903,3122.0588,318842114,14
26332,3075.8406,38454825,60
25436,3074.0826,4322910,43
26277,3039.1304,12274000,30
24847,3018.5723,22037828,23
21756,2998.3413,35931650,18
21024,2987.2957,89554237,74
25425,2963.7255,3125000,42
25034,2948.8362,3526101,10
25283,2939.6153,10455000,262
24789,2916.7442,6486000,64
26484,2861.191,11101120,14
24852,2842.941,5826876,6
25054,2829.7514,22359716,17
20998,2790.9199,20289054,200
21178,2756.9034,5129970,180
24677,2753.5176,55980536,867
23162,2752.5555,72908666,24
25279,2752.4901,8094996,18
24932,2745.4166,7502709,25
24888,2716.0018,3225899,160
26263,2710.8696,51720000,232
25095,2709.3881,3843580,20
25749,2689.9672,8725985,81
25236,2683.3172,9784000,96
25237,2677.1957,15085838,53
25594,2665.2479,21040412,53
25620,2646.4033,4399793,160
26220,2634.2593,5906000,35
26517,2626.018,30167124,140
25293,2608.0908,3115496,14
25025,2606.3465,79837059,98
22898,2598.7288,34249000,120
22864,2573.062,4531348,89
20327,2571.0587,88183962,2200
26205,2564.509,6360103,11
25975,2550.7143,7422000,12
26126,2545.6932,4728621,14
25004,2545.2064,15115027,29
25205,2539.989,2981762,11
26496,2526.0778,4822398,1
25206,2524.0876,3595000,12
26135,2521.6684,17139891,64
26268,2518.6981,72626345,15
21880,2509.1757,46984261,24
25153,2507.7517,6821409,75
23033,2495.6297,5426086,8
25024,2474.0559,2877743,6
26487,2455.075,7660396,6
25384,2447.3722,3475711,9
25488,2439.5443,5250000,31
22992,2436.3022,4590707,45
25512,2427.7792,4696917,27
25313,2416.7762,2825786,10
26221,2415.8055,8277000,107
26167,2415.5285,14426053,123
24957,2406.9499,117230240,325
26180,2402.7683,57568000,270
25374,2379.1819,6662008,90
25065,2368.9874,3058705,47
26239,2360.0708,7789273,35
25141,2347.731,2488706,16
25603,2342.899,2768000,19
25765,2336.4112,6310305,20
26546,2333.3009,8561253,10
24923,2312.1435,6435816,247
26360,2302.5208,8270918,19
25181,2299.954,5532830,68
25403,2291.3554,4306568,35
25128,2291.3176,2775411,15
25869,2288.3653,2465605,18
25783,2281.335,5842010,35
26528,2258.7014,11958616,35
26255,2250.0409,26319118,75
25486,2236.1753,7802802,129
25501,2234.3619,5390952,15
25433,2216.9118,9453000,42
26030,2215.5963,2524000,13
26326,2208.3868,2900488,48
22899,2188.8349,26472870,300
25037,2182.0898,7993065,302
21023,2181.7178,55788000,72
26083,2181.6917,14211083,450
25722,2170.6344,8686766,45
25130,2168.421,34252000,17
23061,2162.0323,6480926,52
23274,2152.8937,9565336,32
25498,2144.0473,8417085,36
23044,2143.7949,8517670,84
26057,2140.5432,4354787,40
25899,2135.5987,5378001,12
25565,2120.61,2273616,120
23172,2117.7132,26199465,25
24913,2117.7004,2291195,6
25949,2109.317,3795474,17
22916,2097.07,39571912,15
25983,2093.0319,4898356,7
26595,2092.1892,5154056,25
24898,2065.3678,15469496,16
26306,2061.3142,9105768,43
24959,2042.1898,2149259,10
26587,2040.9645,3521801,13
26448,2040.0212,4893244,42
23098,2033.014,3869970,35
25143,2025.7586,4464093,22
25660,2011.857,3539958,155
24646,2001.4546,2364977,59
25571,1996.6068,7116722,42
26014,1996.4706,8910000,74
25086,1994.6083,4074453,30
25133,1994.359,3475505,14
24786,1983.3333,2500000,3
25449,1970.7638,2114664,4
25944,1960.201,9306999,74
26405,1957.7655,42522345,11
25112,1944.7493,28906069,174
25091,1938.44,10107299,28
25862,1926.8608,7955530,20
26201,1926.8199,2540031,7
26109,1923.3738,2094293,16
25447,1915.7856,7333811,80
25891,1908.1744,3493139,19
25334,1900.4708,2681071,25
25276,1895.0226,3681934,10
25999,1892.7737,7642008,125
25001,1892.6301,72731000,125
25218,1890.4539,12684307,24
23012,1879.873,19378839,250
25652,1865.5423,3370905,3
26122,1858.9052,2129330,16
25329,1854.1775,98002000,385
26151,1834.0544,2863000,24
25612,1832.2052,13719024,75
26108,1822.9191,4492939,4
26217,1817.2651,7209607,54
26409,1808.4227,12462000,150
25743,1806.2091,22344907,360
25558,1798.0949,13031655,42
24869,1797.1091,2117648,22
22893,1792.1589,3487872233,105
26431,1787.997,224009679,200
22965,1769.7794,19209927,52
23141,1768.0759,8711828,29
26286,1757.6285,3124754,22
23427,1753.3284,34313968,16
25991,1750.9113,2005777,15
25319,1743.2007,4995074,100
21161,1742.3365,4442684,15
23017,1734.4746,101455802,70
25674,1724.3576,9054816,142
25622,1723.2877,7023359,47
22994,1707.5863,22326800,110
25092,1703.5556,4058000,69
25160,1701.5569,2086383,25
26438,1696.071,2265115,22
24928,1694.0032,2213172,8
24922,1683.3663,4647952,15
25684,1675.0,2343000,24
25951,1663.0114,27119347,41
23059,1654.4182,5001355,100
26075,1652.3627,31150000,268
22972,1651.8539,14580032,74
22959,1647.939,18691673,73
26283,1627.8717,5780975,40
21743,1620.9718,20354071,14
25636,1612.0096,8168477,20
25725,1610.4108,4166116,7
26381,1603.5675,5226000,28
25417,1599.7825,2876083,29
22925,1593.0873,13325850,147
26191,1579.9141,6397449,10
26234,1566.5949,2378081,27
19653,1565.3208,456296000,77
25262,1564.3714,5198298,27
23511,1560.1278,5577000,5
25098,1555.6041,2038446,23
25163,1554.1583,2041099,19
24001,1551.0642,3197550,157
26314,1548.8424,4628284,2
22947,1538.9036,7811162,19
26256,1528.9871,2524930,23
26250,1520.2761,2064653,35
24920,1519.4793,22833994,7
25993,1518.5507,11168000,32
25740,1517.0231,4760241,12
21205,1515.4893,25450095,10
25708,1512.312,5126072,25
