state_l,state_s,city,metro
California,CA,El Segundo,Los Angeles
Virginia,VA,Arlington,Washington DC
California,CA,Palo Alto,San Jose
Massachusetts,MA,Maynard,Boston
Maine,ME,Auburn,Lewiston-Auburn ME
California,CA,South San Francisco,San Francisco
Arizona,AZ,Scottsdale,Phoenix
Oregon,OR,Portland,Portland OR
North Carolina,NC,Wilmington,Wilmington NC
Colorado,CO,Boulder,Boulder CO
Kansas,KS,Lenexa,Waterloo-Cedar Falls IA
Florida,FL,Jacksonville,Jacksonville FL
Florida,FL,Palmetto,Sarasota-Bradenton-Venice FL
North Carolina,NC,Raleigh,Raleigh-Cary NC
Hawaii,HI,Honolulu,Honolulu HI
California,CA,Los Angeles,Los Angeles
Virginia,VA,McLean,Washington DC
Alabama,AL,Fairhope,Daphne-Fairhope-Foley AL
Texas,TX,Austin,Austin
Virginia,VA,Richmond,Richmond VA
Arizona,AZ,Tempe,Phoenix
Texas,TX,Dallas,Dallas
Florida,FL,Tampa,Tampa
Florida,FL,Miami,Miami
Pennsylvania,PA,Morrisville,Dallas
California,CA,Westlake Village,Los Angeles
Indiana,IN,Indianapolis,Indianapolis IN
Missouri,MO,Columbia,Columbia MO
New Jersey,NJ,Berkeley Heights,New York City
California,CA,San Francisco,San Francisco
New York,NY,New York,New York City
Michigan,MI,Troy,Detroit
Wisconsin,WI,Madison,Madison WI
Texas,TX,North Richland Hills,Dallas
Louisiana,LA,New Orleans,New Orleans-Metairie-Kenner LA
Maryland,MD,Chevy Chase,Washington DC
Iowa,IA,Des Moines,Des Moines-West Des Moines IA
California,CA,Pleasanton,San Francisco
Alabama,AL,Huntsville,Huntsville AL
Oklahoma,OK,Norman,Oklahoma City OK
Texas,TX,Tyler,Tyler TX
Michigan,MI,Richmond,Detroit
Ohio,OH,Enon,Springfield OH
Florida,FL,Sunrise,Miami
Illinois,IL,Chicago,Chicago
Rhode Island,RI,Cranston,Providence-New Bedford-Fall River RI-MA
Illinois,IL,Elgin,Chicago
California,CA,San Diego,San Diego
Texas,TX,Fort Worth,Dallas
New Jersey,NJ,Englewood,New York City
Texas,TX,Irving,Dallas
Pennsylvania,PA,Maple Glen,Philadelphia
New York,NY,Brooklyn,New York City
California,CA,Laguna Niguel,Los Angeles
District of Columbia,DC,Washington,Washington DC
Massachusetts,MA,Waltham,Boston
Massachusetts,MA,Cambridge,Boston
Florida,FL,Miramar,Miami
California,CA,Sonoma,Napa CA
Rhode Island,RI,East Greenwich,Providence-New Bedford-Fall River RI-MA
Massachusetts,MA,Hopkinton,Boston
Texas,TX,Burleson,Dallas
California,CA,Manhattan Beach,Los Angeles
Florida,FL,Pompano Beach,Miami
California,CA,Redwood City,San Francisco
New York,NY,Long Island City,New York City
Utah,UT,Salt Lake City,Salt Lake City
Indiana,IN,Fort Wayne,Fort Wayne IN
Washington,WA,Seattle,Seattle
Pennsylvania,PA,Malvern,Philadelphia
Missouri,MO,Lee's Summit,Kansas City MO-KS
Missouri,MO,St. Louis,St. Louis MO-IL
Massachusetts,MA,Boston,Boston
California,CA,Beverly Hills,Los Angeles
Michigan,MI,Farmington Hills,Detroit
Virginia,VA,Falls Church,Washington DC
Pennsylvania,PA,Berwyn,Philadelphia
Texas,TX,The Colony,Dallas
New York,NY,Bronx,New York City
Illinois,IL,Itasca,Chicago
Wisconsin,WI,Mequon,Milwaukee-Waukesha-West Allis WI
Virginia,VA,Charlottesville,Charlottesville VA
Virginia,VA,Warrenton,Culpeper VA
Ohio,OH,Granville,Columbus OH
California,CA,Murrieta,Riverside-San Bernardino-Ontario CA
California,CA,Sunnyvale,San Jose
Florida,FL,Boca Raton,Miami
Idaho,ID,Boise,Boise City-Nampa ID
California,CA,Sherman Oaks,Los Angeles
New Jersey,NJ,West Windsor,Trenton-Ewing NJ
Virginia,VA,Reston,Washington DC
New Jersey,NJ,Rochelle Park,
North Carolina,NC,Charlotte,Charlotte
California,CA,Los Gatos,San Jose
Maryland,MD,Baltimore,Baltimore
Florida,FL,Oviedo,Orlando FL
California,CA,Westminster,Los Angeles
